cid,dept,class_number,title,credit_hours
1,CSCI,6221,SW Paradigms,3
2,CSCI,6461,Computer Architecture,3
3,CSCI,6212,Algorithms,3
4,CSCI,6220,Machine Learning,3
5,CSCI,6232,Networks 1,3
6,CSCI,6233,Networks 2,3
7,CSCI,6241,Database 1,3
8,CSCI,6242,Database 2,3
9,CSCI,6246,Compilers,3
10,CSCI,6260,Multimedia,3
11,CSCI,6251,Cloud Computing,3
12,CSCI,6254,SW Engineering,3
13,CSCI,6262,Graphics 1,3
14,CSCI,6283,Security 1,3
15,CSCI,6284,Cryptography,3
16,CSCI,6286,Network Security,3
17,CSCI,6325,Algorithms 2,3
18,CSCI,6339,Embedded Systems,3
19,CSCI,6384,Cryptography 2,3
20,ECE,6241,Communication Theory,3
21,ECE,6242,Information Theory,2
22,MATH,6210,Logic,2