cid,section_id,proffessor_uid,year,semester,day,timeslot
1,2023-3-1-1,x,2023,3,M,1
2,2023-3-2-1,x,2023,3,T,1
3,2023-3-3-1,x,2023,3,W,1
5,2023-3-5-1,x,2023,3,M,3
6,2023-3-6-1,x,2023,3,T,3
7,2023-3-7-1,x,2023,3,W,3
8,2023-3-8-1,x,2023,3,R,3
9,2023-3-9-1,x,2023,3,T,1
11,2023-3-11-1,x,2023,3,M,3
12,2023-3-12-1,x,2023,3,M,1
10,2023-3-10-1,x,2023,3,R,3
13,2023-3-13-1,x,2023,3,W,3
14,2023-3-14-1,x,2023,3,T,3
15,2023-3-15-1,x,2023,3,M,3
16,2023-3-16-1,x,2023,3,W,3
19,2023-3-19-1,x,2023,3,W,1
20,2023-3-20-1,x,2023,3,M,3
21,2023-3-21-1,x,2023,3,T,3
22,2023-3-22-1,x,2023,3,W,3
18,2023-3-18-1,x,2023,3,R,2